City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,75.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
1,Totness,SR,75.7,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
5,Mazabuka,ZM,60.58,clear sky,-15.856,27.748,Darcyn Gardens and Apartments
6,Mataura,NZ,60.01,overcast clouds,-46.1927,168.8643,Ellie's Villa
7,Antalaha,MG,78.4,broken clouds,-14.9003,50.2788,Hotel Vitasoa
8,Jamestown,US,55.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
9,Atar,MR,74.75,clear sky,20.5169,-13.0499,Oumou Elghoura
11,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
13,East London,ZA,62.6,fog,-33.0153,27.9116,Tu Casa
14,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
17,Cabedelo,BR,73.4,few clouds,-6.9811,-34.8339,Hotel Pigalle
18,Castro,BR,58.21,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
19,Moroni,KM,81.82,overcast clouds,-11.7022,43.2551,Hotel les Arcades
20,Orodara,BF,78.8,clear sky,10.9492,-4.9342,Bkf Orodara
22,Rikitea,PF,78.19,light rain,-23.1203,-134.9692,Pension Maro'i
25,Flinders,AU,73.0,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
26,Kaitangata,NZ,56.26,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
27,Vao,NC,75.85,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
29,Avarua,CK,80.6,scattered clouds,-21.2078,-159.775,Paradise Inn
32,Nagato,JP,57.0,clear sky,34.3833,131.2,いそう庵
34,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
36,Suba,PH,82.76,broken clouds,10.8438,121.0102,Casita Bed and Grill
37,Jumla,NP,64.18,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
39,Gat,IL,60.01,overcast clouds,31.61,34.7642,OlusHome
40,Parambu,BR,67.21,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
42,Kavieng,PG,80.85,moderate rain,-2.5744,150.7967,Nusa Island Retreat
43,Naze,JP,68.0,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
44,Lata,PT,57.0,scattered clouds,40.1629,-8.3327,Casa Maquia
45,Bengkulu,ID,85.86,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Ballina,AU,89.6,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
47,Labuhan,ID,84.76,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
49,Colorado,BR,66.04,clear sky,-22.8375,-51.9731,Hotel Bandeirantes
50,Barinas,VE,78.8,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
51,Isangel,VU,81.7,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
52,Cervo,ES,51.96,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
54,Hithadhoo,MV,82.85,clear sky,-0.6,73.0833,Scoop Guest House
55,Saldanha,ZA,55.4,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
57,Sterling,US,57.99,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
58,Taganak,PH,86.0,heavy intensity rain,6.0833,118.3,Taganak
59,Vila Franca Do Campo,PT,59.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
60,Griffith,US,50.0,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
62,Meulaboh,ID,86.02,overcast clouds,4.1363,96.1285,Kost Pria
65,Hermanus,ZA,62.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Butaritari,KI,82.65,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
70,Bluff,NZ,60.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
71,Faya,SA,66.2,clear sky,18.3851,42.4509,مقبرة ال مجمل
72,Bredasdorp,ZA,62.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
74,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
77,Busselton,AU,73.0,clear sky,-33.65,115.3333,Observatory Guest House
78,Isiro,CD,65.77,overcast clouds,2.7739,27.616,Guest House Hewa Bora
