City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Codrington,AU,-38.2667,141.9667,54.81,64,100,17.18,overcast clouds
Buraydah,SA,26.326,43.975,71.6,28,0,21.85,clear sky
Antofagasta,CL,-23.65,-70.4,60.8,77,90,2.3,overcast clouds
Constitucion,CL,-35.3333,-72.4167,52.48,70,0,9.44,clear sky
Mataura,NZ,-46.1927,168.8643,57.99,80,97,7.0,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-6.84,94,14,1.14,few clouds
Punta Arenas,CL,-53.15,-70.9167,48.2,61,40,37.98,scattered clouds
Polunochnoye,RU,60.8697,60.4153,36.01,98,100,2.77,overcast clouds
Narsaq,GL,60.9167,-46.05,33.8,80,40,7.25,scattered clouds
Tevaitoa,PF,-16.7833,-151.5,82.54,72,60,11.45,broken clouds
East London,ZA,-33.0153,27.9116,66.2,94,75,3.44,broken clouds
Saint Anthony,US,45.0205,-93.218,46.4,66,90,14.97,overcast clouds
Busselton,AU,-33.65,115.3333,59.0,96,100,3.0,overcast clouds
Nikki,BJ,9.9401,3.2108,76.01,75,61,5.93,broken clouds
Stubbekobing,DK,54.8887,12.041,37.99,100,100,23.73,moderate rain
Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,93,90,8.05,light snow
Hermanus,ZA,-34.4187,19.2345,63.05,87,100,3.98,overcast clouds
Dolinsk,RU,47.35,142.8,51.8,50,14,15.66,few clouds
Jamestown,US,42.097,-79.2353,59.0,94,90,13.8,light rain
Caravelas,BR,-17.7125,-39.2481,72.9,85,28,3.29,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,28.4,46,23,24.16,few clouds
Safaga,EG,26.7292,33.9365,57.2,51,0,14.97,clear sky
Hukuntsi,BW,-24.0,21.75,68.5,46,0,6.98,clear sky
Esperance,AU,-33.8667,121.9,68.0,52,100,17.27,overcast clouds
Ushuaia,AR,-54.8,-68.3,42.8,81,75,21.85,light intensity drizzle
Waipawa,NZ,-41.4122,175.5153,66.2,77,20,17.27,few clouds
Senanga,ZM,-16.1167,23.2667,66.88,58,4,6.98,clear sky
Sitka,US,57.0531,-135.33,33.8,69,90,3.44,overcast clouds
Khatanga,RU,71.9667,102.5,29.03,95,100,12.77,light snow
Pitea,SE,65.3172,21.4794,32.0,69,75,9.22,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,73.56,73,0,14.34,clear sky
Hilo,US,19.7297,-155.09,71.6,68,90,4.61,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,31.08,76,23,22.5,few clouds
Berlevag,NO,70.8578,29.0864,30.42,86,71,17.18,broken clouds
Vostok,RU,46.4856,135.8833,55.22,35,94,12.8,overcast clouds
Rikitea,PF,-23.1203,-134.9692,78.67,75,21,12.71,few clouds
Barrow,US,71.2906,-156.7887,-9.4,70,1,6.91,clear sky
Bathsheba,BB,13.2167,-59.5167,78.8,65,100,13.8,volcanic ash
Rio Gallegos,AR,-51.6226,-69.2181,44.6,70,0,12.66,clear sky
Lagoa,PT,39.05,-27.9833,60.04,94,100,18.92,overcast clouds
Albany,US,42.6001,-73.9662,57.99,70,100,3.4,overcast clouds
Kapaa,US,22.0752,-159.319,71.6,68,1,11.5,clear sky
Longyearbyen,SJ,78.2186,15.6401,21.2,58,40,19.57,scattered clouds
Stephenville,US,32.2207,-98.2023,57.0,50,1,8.5,clear sky
Butaritari,KI,3.0707,172.7902,81.7,77,100,8.68,light rain
Key Largo,US,25.0865,-80.4473,77.0,89,42,1.01,scattered clouds
Nikolskoye,RU,59.7035,30.7861,41.0,69,0,6.71,clear sky
Qaanaaq,GL,77.484,-69.3632,11.46,85,100,7.4,overcast clouds
Carlos Chagas,BR,-17.7031,-40.7664,64.99,97,11,0.92,few clouds
Provideniya,RU,64.3833,-173.3,2.21,91,100,23.47,light snow
Upernavik,GL,72.7868,-56.1549,11.41,83,68,7.23,broken clouds
Kodiak,US,57.79,-152.4072,33.8,75,90,6.91,overcast clouds
Akonolinga,CM,3.7667,12.25,69.67,96,85,2.19,overcast clouds
Lata,PT,40.1629,-8.3327,57.0,96,78,1.36,broken clouds
Grand Gaube,MU,-20.0064,57.6608,82.0,72,100,10.0,overcast clouds
Vaini,TO,-21.2,-175.2,78.8,73,20,4.61,few clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,1,10.36,clear sky
Fortuna,US,40.5982,-124.1573,46.0,93,40,6.91,scattered clouds
Coahuayana,MX,18.7333,-103.6833,67.77,77,42,3.8,scattered clouds
Toora-Khem,RU,52.4675,96.11,37.54,42,51,4.32,broken clouds
Aripuana,BR,-9.1667,-60.6333,70.95,98,85,0.67,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,33.8,80,40,6.26,scattered clouds
Saint-Pierre,RE,-21.3393,55.4781,84.2,65,0,2.3,clear sky
Anloga,GH,5.7947,0.8973,78.8,89,20,6.91,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,74.8,90,78,2.33,broken clouds
Bluff,NZ,-46.6,168.3333,57.99,80,91,7.0,overcast clouds
Cidreira,BR,-30.1811,-50.2056,74.19,83,100,10.4,overcast clouds
Castro,BR,-24.7911,-50.0119,57.7,72,39,2.35,scattered clouds
Saint George,US,37.1041,-113.5841,68.0,12,1,1.36,clear sky
Cap Malheureux,MU,-19.9842,57.6142,82.0,72,100,10.0,overcast clouds
Hobart,AU,-42.8794,147.3294,50.0,71,75,24.16,light rain
Saldanha,ZA,-33.0117,17.9442,57.2,88,96,10.78,overcast clouds
Sawtell,AU,-30.3833,153.1,73.4,49,0,9.22,clear sky
