City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,75.2,64,1,9.22,US,2021-04-03 03:15:38
1,Punta Arenas,-53.15,-70.9167,44.6,93,90,12.66,CL,2021-04-03 03:12:20
2,Hobart,-42.8794,147.3294,87.8,12,0,23.02,AU,2021-04-03 03:15:18
3,Trapani,37.8333,12.6667,64.0,82,0,4.61,IT,2021-04-03 03:17:09
4,Mataura,-46.1927,168.8643,62.01,57,98,10.0,NZ,2021-04-03 03:15:07
5,Bubaque,11.2833,-15.8333,75.38,81,43,13.62,GW,2021-04-03 03:15:40
6,Castro,-24.7911,-50.0119,53.67,96,0,4.5,BR,2021-04-03 03:15:22
7,Columbus,39.9612,-82.9988,35.6,55,1,1.74,US,2021-04-03 03:21:16
8,Cumra,37.5732,32.7745,33.8,86,5,6.91,TR,2021-04-03 03:21:38
9,Port Hardy,50.6996,-127.4199,46.4,65,75,8.05,CA,2021-04-03 03:15:17
10,Pochutla,15.7432,-96.4661,82.0,73,0,2.04,MX,2021-04-03 03:16:45
11,Patitirion,39.15,23.8667,59.0,82,0,5.75,GR,2021-04-03 03:21:39
12,Albany,42.6001,-73.9662,30.99,57,28,5.61,US,2021-04-03 03:14:41
13,Kushmurun,52.4503,64.6311,25.03,80,100,9.15,KZ,2021-04-03 03:21:39
14,Puerto Ayora,-0.7393,-90.3518,77.0,93,72,0.47,EC,2021-04-03 03:15:28
15,Sitka,57.0531,-135.33,33.8,93,90,0.51,US,2021-04-03 03:16:11
16,Grand Gaube,-20.0064,57.6608,82.0,75,13,5.01,MU,2021-04-03 03:15:13
17,Busselton,-33.65,115.3333,71.01,69,50,3.0,AU,2021-04-03 03:15:07
18,Jamestown,42.097,-79.2353,26.6,74,1,11.5,US,2021-04-03 03:15:19
19,Roma,43.2128,-75.4557,27.0,50,1,4.63,US,2021-04-03 03:18:03
20,Jiexiu,37.0244,111.9125,51.46,60,97,10.29,CN,2021-04-03 03:21:40
21,Vila Franca Do Campo,37.7167,-25.4333,60.8,94,75,18.41,PT,2021-04-03 03:16:29
22,Carnarvon,-24.8667,113.6333,86.0,70,67,16.11,AU,2021-04-03 03:15:51
23,Aripuana,-9.1667,-60.6333,71.44,95,96,2.15,BR,2021-04-03 03:21:40
24,Asyut,27.181,31.1837,48.2,66,0,8.05,EG,2021-04-03 03:21:40
25,Rikitea,-23.1203,-134.9692,77.5,74,82,9.01,PF,2021-04-03 03:15:08
26,Luderitz,-26.6481,15.1594,69.12,47,4,15.26,NA,2021-04-03 03:17:07
27,Lagoa,39.05,-27.9833,60.51,84,100,32.37,PT,2021-04-03 03:15:46
28,San Patricio,28.017,-97.5169,61.0,72,40,6.91,US,2021-04-03 03:15:24
